Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
4780, B4, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
4800, B5, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
4820, B6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 
4840, B7, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
4860, B8, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
4880, B9, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
4900, BA, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
4920, BB, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
4940, BC, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
4960, BD, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
4980, BE, 1, 0, 1, 1, 1, 1, 1, 0, 0, 
5000, BF, 1, 0, 1, 1, 1, 1, 1, 1, 0, 
5020, C0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 
5040, C1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 
5060, C2, 1, 1, 0, 0, 0, 0, 1, 0, 0, 
5080, C3, 1, 1, 0, 0, 0, 0, 1, 1, 0, 
5100, C4, 1, 1, 0, 0, 0, 1, 0, 0, 0, 
5120, C5, 1, 1, 0, 0, 0, 1, 0, 1, 0, 
5140, C6, 1, 1, 0, 0, 0, 1, 1, 0, 0, 
5160, C7, 1, 1, 0, 0, 0, 1, 1, 1, 0, 
5180, C8, 1, 1, 0, 0, 1, 0, 0, 0, 0, 
5200, C9, 1, 1, 0, 0, 1, 0, 0, 1, 0, 
5220, CA, 1, 1, 0, 0, 1, 0, 1, 0, 0, 
5240, CB, 1, 1, 0, 0, 1, 0, 1, 1, 0, 
5260, CC, 1, 1, 0, 0, 1, 1, 0, 0, 0, 
5280, CD, 1, 1, 0, 0, 1, 1, 0, 1, 0, 
5300, CE, 1, 1, 0, 0, 1, 1, 1, 0, 0, 
5320, CF, 1, 1, 0, 0, 1, 1, 1, 1, 0, 
5340, D0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 
5360, D1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 
5380, D2, 1, 1, 0, 1, 0, 0, 1, 0, 0, 
5400, D3, 1, 1, 0, 1, 0, 0, 1, 1, 0, 
5420, D4, 1, 1, 0, 1, 0, 1, 0, 0, 0, 
5440, D5, 1, 1, 0, 1, 0, 1, 0, 1, 0, 
5460, D6, 1, 1, 0, 1, 0, 1, 1, 0, 0, 
5480, D7, 1, 1, 0, 1, 0, 1, 1, 1, 0, 
5500, D8, 1, 1, 0, 1, 1, 0, 0, 0, 0, 
5520, D9, 1, 1, 0, 1, 1, 0, 0, 1, 0, 
5540, DA, 1, 1, 0, 1, 1, 0, 1, 0, 0, 
5560, DB, 1, 1, 0, 1, 1, 0, 1, 1, 0, 
5580, DC, 1, 1, 0, 1, 1, 1, 0, 0, 0, 
5600, DD, 1, 1, 0, 1, 1, 1, 0, 1, 0, 
5620, DE, 1, 1, 0, 1, 1, 1, 1, 0, 0, 
5640, DF, 1, 1, 0, 1, 1, 1, 1, 1, 0, 
5660, E0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 
5680, E1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 
5700, E2, 1, 1, 1, 0, 0, 0, 1, 0, 0, 
5720, E3, 1, 1, 1, 0, 0, 0, 1, 1, 0, 
5740, E4, 1, 1, 1, 0, 0, 1, 0, 0, 0, 
5760, E5, 1, 1, 1, 0, 0, 1, 0, 1, 0, 
5780, E6, 1, 1, 1, 0, 0, 1, 1, 0, 0, 
5800, E7, 1, 1, 1, 0, 0, 1, 1, 1, 0, 
5820, E8, 1, 1, 1, 0, 1, 0, 0, 0, 0, 
5840, E9, 1, 1, 1, 0, 1, 0, 0, 1, 0, 
5860, EA, 1, 1, 1, 0, 1, 0, 1, 0, 0, 
5880, EB, 1, 1, 1, 0, 1, 0, 1, 1, 0, 
5900, EC, 1, 1, 1, 0, 1, 1, 0, 0, 0, 
5920, ED, 1, 1, 1, 0, 1, 1, 0, 1, 0, 
5940, EE, 1, 1, 1, 0, 1, 1, 1, 0, 0, 
5960, EF, 1, 1, 1, 0, 1, 1, 1, 1, 0, 
5980, F0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 
6000, F1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
6020, F2, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
6040, F3, 1, 1, 1, 1, 0, 0, 1, 1, 0, 
6060, F4, 1, 1, 1, 1, 0, 1, 0, 0, 0, 
6080, F5, 1, 1, 1, 1, 0, 1, 0, 1, 0, 
6100, F6, 1, 1, 1, 1, 0, 1, 1, 0, 0, 
6120, F7, 1, 1, 1, 1, 0, 1, 1, 1, 0, 
6140, F8, 1, 1, 1, 1, 1, 0, 0, 0, 0, 
6160, F9, 1, 1, 1, 1, 1, 0, 0, 1, 0, 
6180, FA, 1, 1, 1, 1, 1, 0, 1, 0, 0, 
6200, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 
6220, FC, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
6240, FD, 1, 1, 1, 1, 1, 1, 0, 1, 0, 
6260, FE, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
6280, FF, 1, 1, 1, 1, 1, 1, 1, 1, 0, 
6300, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
6320, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 
6340, 02, 0, 0, 0, 0, 0, 0, 1, 0, 0, 
6360, 03, 0, 0, 0, 0, 0, 0, 1, 1, 0, 
6380, 04, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
6400, 05, 0, 0, 0, 0, 0, 1, 0, 1, 0, 
6420, 06, 0, 0, 0, 0, 0, 1, 1, 0, 0, 
6440, 07, 0, 0, 0, 0, 0, 1, 1, 1, 0, 
6460, 08, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
6480, 09, 0, 0, 0, 0, 1, 0, 0, 1, 0, 
6500, 0A, 0, 0, 0, 0, 1, 0, 1, 0, 0, 
6520, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 0, 
6540, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 0, 
6560, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 0, 
6580, 0E, 0, 0, 0, 0, 1, 1, 1, 0, 0, 
6600, 0F, 0, 0, 0, 0, 1, 1, 1, 1, 0, 
6620, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
6640, 11, 0, 0, 0, 1, 0, 0, 0, 1, 0, 
6660, 12, 0, 0, 0, 1, 0, 0, 1, 0, 0, 
6680, 13, 0, 0, 0, 1, 0, 0, 1, 1, 0, 
6700, 14, 0, 0, 0, 1, 0, 1, 0, 0, 0, 
6720, 15, 0, 0, 0, 1, 0, 1, 0, 1, 0, 
6740, 16, 0, 0, 0, 1, 0, 1, 1, 0, 0, 
6760, 17, 0, 0, 0, 1, 0, 1, 1, 1, 0, 
6780, 18, 0, 0, 0, 1, 1, 0, 0, 0, 0, 
6800, 19, 0, 0, 0, 1, 1, 0, 0, 1, 0, 
6820, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 0, 
6840, 1B, 0, 0, 0, 1, 1, 0, 1, 1, 0, 
6860, 1C, 0, 0, 0, 1, 1, 1, 0, 0, 0, 
6880, 1D, 0, 0, 0, 1, 1, 1, 0, 1, 0, 
6900, 1E, 0, 0, 0, 1, 1, 1, 1, 0, 0, 
6920, 1F, 0, 0, 0, 1, 1, 1, 1, 1, 0, 
6940, 20, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
6960, 21, 0, 0, 1, 0, 0, 0, 0, 1, 0, 
6980, 22, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
7000, 23, 0, 0, 1, 0, 0, 0, 1, 1, 0, 
7020, 24, 0, 0, 1, 0, 0, 1, 0, 0, 0, 
7040, 25, 0, 0, 1, 0, 0, 1, 0, 1, 0, 
7060, 26, 0, 0, 1, 0, 0, 1, 1, 0, 0, 
7080, 27, 0, 0, 1, 0, 0, 1, 1, 1, 0, 
